fragment_id,model,ngram_precision,aligned_precision,aligned_recall,cer_lenient,len_ratio,tier,script_bucket,failure_mode,judged_halluc_severe,judged_canonical,overall_quality
Cambridge_CUL_T_S_20_28,kraken_seg,0.6906187624750499,0.40085287846481876,0.2979397781299525,0.6561014263074485,0.3315824031516743,B,judaeo_arabic,substantive,False,False,poor
Oxford_Bodleian_MS_heb_a_2_4,gemini_flash,0.6047156726768377,0.1889763779527559,0.15335463258785942,0.7373801916932907,0.5744849445324881,A,aramaic,substantive,True,False,unusable
Cambridge_CUL_T_S_10J13_11,kraken_seg,0.583864118895966,0.42950819672131146,0.30045871559633025,0.4701834862385321,0.6914119359534207,A,judaeo_arabic,substantive,False,False,poor
Cambridge_CUL_T_S_10J24_3,kraken_seg,0.5795454545454546,0.3193359375,0.26693877551020406,0.6840816326530612,0.8214654282765738,B,hebrew,substantive,False,False,poor
Cambridge_CUL_T_S_16_138,kraken_seg,0.576837416481069,0.31640979147778786,0.16666666666666666,0.7975167144221585,0.2755474452554745,A,judaeo_arabic,substantive,False,False,unusable
Cambridge_CUL_T_S_10J21_1,kraken_seg,0.5564648117839607,0.36741479634247715,0.4830601092896175,0.8622950819672132,0.8471074380165289,A,judaeo_arabic,substantive,False,False,poor
Cambridge_CUL_T_S_20_21,gemini_flash,0.5531914893617021,0.18461538461538463,0.00980392156862745,0.9693627450980392,0.02616726526423807,A,judaeo_arabic,substantive,True,False,unusable
Cambridge_CUL_T_S_16_106,claude_opus_4_8,0.5454545454545454,0.13475836431226765,0.07556018759770713,0.9015112037519541,0.018544935805991442,B,hebrew,substantive,False,False,unusable
Cambridge_CUL_T_S_12_146,gemini_flash,0.516728624535316,0.16158536585365854,0.1411451398135819,0.7816245006657789,0.4457236842105263,B,hebrew,substantive,True,False,unusable
Cambridge_CUL_T_S_Misc_35_11,kraken_seg,0.4917525773195876,0.42018072289156627,0.5086599817684594,0.7821330902461258,1.1093394077448746,A,hebrew,substantive,False,False,poor
Cambridge_CUL_T_S_20_63,kraken_seg,0.468503937007874,0.3297129557796742,0.18287435456110154,0.7495551601423488,0.4194961664841183,A,judaeo_arabic,substantive,False,False,poor
